"No.","Time","Source","Destination","Protocol","Length","Info"
"168","349.610642","fe80::d52e:f184:1366:3ec2","ff02::fb","MDNS","101","Standard query 0x0000 PTR _nmea-0183._tcp.local, ""QM"" question"
"169","349.611619","10.0.0.2","224.0.0.251","MDNS","81","Standard query 0x0000 PTR _nmea-0183._tcp.local, ""QM"" question"
"170","349.855306","fe80::d52e:f184:1366:3ec2","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"171","349.855306","10.0.0.2","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"172","356.391882","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"173","356.499135","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"174","380.488908","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"175","380.588117","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"176","404.527676","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"177","404.613382","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"178","428.046297","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"179","428.133394","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"180","452.136092","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"181","452.254301","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"182","476.225664","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"183","476.260213","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"184","477.855596","fe80::d52e:f184:1366:3ec2","ff02::fb","MDNS","107","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"185","477.855596","10.0.0.2","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _ipps._tcp.local, ""QM"" question PTR _ipp._tcp.local, ""QM"" question"
"186","486.317538","c2:01:78:a0:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Gateway  Port ID: FastEthernet0/0  "
"187","486.319547","c2:02:59:88:00:00","CDP/VTP/DTP/PAgP/UDLD","CDP","355","Device ID: Victima  Port ID: FastEthernet0/0  "
"188","500.102580","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"189","500.187817","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"190","524.179576","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"191","524.244796","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"192","532.541827","PcsCompu_3c:b5:2b","Broadcast","ARP","60","Who has 10.0.0.3? Tell 10.0.0.2"
"193","532.553602","c2:02:59:88:00:00","PcsCompu_3c:b5:2b","ARP","60","10.0.0.3 is at c2:02:59:88:00:00"
"194","532.558418","PcsCompu_3c:b5:2b","c2:02:59:88:00:00","ARP","60","10.0.0.1 is at 08:00:27:3c:b5:2b"
"195","532.564275","PcsCompu_3c:b5:2b","Broadcast","ARP","60","Who has 10.0.0.1? Tell 10.0.0.2"
"196","532.575083","c2:01:78:a0:00:00","PcsCompu_3c:b5:2b","ARP","60","10.0.0.1 is at c2:01:78:a0:00:00"
"197","532.579892","PcsCompu_3c:b5:2b","c2:01:78:a0:00:00","ARP","60","10.0.0.3 is at 08:00:27:3c:b5:2b"
"198","536.584397","PcsCompu_3c:b5:2b","c2:02:59:88:00:00","ARP","60","10.0.0.1 is at 08:00:27:3c:b5:2b"
"199","536.588261","PcsCompu_3c:b5:2b","c2:01:78:a0:00:00","ARP","60","10.0.0.3 is at 08:00:27:3c:b5:2b"
"200","540.592514","PcsCompu_3c:b5:2b","c2:02:59:88:00:00","ARP","60","10.0.0.1 is at 08:00:27:3c:b5:2b"
"201","540.596416","PcsCompu_3c:b5:2b","c2:01:78:a0:00:00","ARP","60","10.0.0.3 is at 08:00:27:3c:b5:2b"
"202","544.600019","PcsCompu_3c:b5:2b","c2:02:59:88:00:00","ARP","60","10.0.0.1 is at 08:00:27:3c:b5:2b"
"203","544.601971","PcsCompu_3c:b5:2b","c2:01:78:a0:00:00","ARP","60","10.0.0.3 is at 08:00:27:3c:b5:2b"
"204","548.080431","c2:01:78:a0:00:00","c2:01:78:a0:00:00","LOOP","60","Reply"
"205","548.111715","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
"206","548.610710","PcsCompu_3c:b5:2b","c2:02:59:88:00:00","ARP","60","10.0.0.1 is at 08:00:27:3c:b5:2b"
"207","548.613636","PcsCompu_3c:b5:2b","c2:01:78:a0:00:00","ARP","60","10.0.0.3 is at 08:00:27:3c:b5:2b"
"208","552.621679","PcsCompu_3c:b5:2b","c2:02:59:88:00:00","ARP","60","10.0.0.1 is at 08:00:27:3c:b5:2b"
"209","552.625624","PcsCompu_3c:b5:2b","c2:01:78:a0:00:00","ARP","60","10.0.0.3 is at 08:00:27:3c:b5:2b"
"210","556.633535","PcsCompu_3c:b5:2b","c2:02:59:88:00:00","ARP","60","10.0.0.1 is at 08:00:27:3c:b5:2b"
"211","556.637405","PcsCompu_3c:b5:2b","c2:01:78:a0:00:00","ARP","60","10.0.0.3 is at 08:00:27:3c:b5:2b"
"212","560.648585","PcsCompu_3c:b5:2b","c2:02:59:88:00:00","ARP","60","10.0.0.1 is at 08:00:27:3c:b5:2b"
"213","560.652490","PcsCompu_3c:b5:2b","c2:01:78:a0:00:00","ARP","60","10.0.0.3 is at 08:00:27:3c:b5:2b"
"214","564.657405","PcsCompu_3c:b5:2b","c2:02:59:88:00:00","ARP","60","10.0.0.1 is at 08:00:27:3c:b5:2b"
"215","564.661306","PcsCompu_3c:b5:2b","c2:01:78:a0:00:00","ARP","60","10.0.0.3 is at 08:00:27:3c:b5:2b"
"216","568.669525","PcsCompu_3c:b5:2b","c2:02:59:88:00:00","ARP","60","10.0.0.1 is at 08:00:27:3c:b5:2b"
"217","568.673429","PcsCompu_3c:b5:2b","c2:01:78:a0:00:00","ARP","60","10.0.0.3 is at 08:00:27:3c:b5:2b"
"218","571.473557","c2:02:59:88:00:00","c2:02:59:88:00:00","LOOP","60","Reply"
